,average,yearpublished,minplayers,maxplayers,NEW_CAT_Family_Game,NEW_CAT_Heavy_Game,NEW_CAT_Party_Game,NEW_CAT_Strategy_Game
287,7.6828,2009,2.0,5.0,0,0,0,1
288,5.61574,1983,1.0,8.0,0,0,1,0
289,7.80152,2019,1.0,5.0,0,0,0,1
290,6.99546,2010,1.0,6.0,0,0,0,1
291,7.33351,2007,2.0,5.0,0,0,0,1
292,7.49318,2015,2.0,5.0,0,0,0,1
293,6.58205,2013,2.0,4.0,1,0,0,0
294,7.04075,1959,2.0,7.0,0,0,0,1
295,7.63527,2007,2.0,3.0,1,0,0,0
296,6.54443,1910,2.0,2.0,0,0,0,1
297,7.02736,2010,1.0,4.0,0,0,0,1
298,7.27422,2010,2.0,4.0,0,0,0,1
299,7.19468,2013,1.0,4.0,0,0,0,1
300,6.96369,2014,2.0,6.0,0,0,1,0
301,7.18863,2009,1.0,6.0,0,0,0,1
302,7.77814,2014,1.0,5.0,0,0,0,1
303,6.49464,1997,2.0,8.0,0,0,1,0
304,7.12771,2002,2.0,5.0,1,0,0,0
305,7.26732,2016,2.0,4.0,0,0,0,1
306,6.86517,2008,1.0,4.0,1,0,0,0
307,8.00054,2016,1.0,4.0,0,1,0,0
308,7.87419,2015,2.0,4.0,0,1,0,0
309,7.27672,2019,2.0,6.0,0,0,1,0
310,7.33118,2014,2.0,4.0,0,0,0,1
311,7.1513,1989,2.0,5.0,0,0,0,1
312,7.62823,2013,1.0,5.0,0,1,0,0
313,7.29592,2005,2.0,5.0,0,0,0,1
314,6.49008,1988,1.0,20.0,0,0,1,0
315,7.68655,2005,2.0,6.0,0,0,0,1
316,6.40494,1986,2.0,4.0,1,0,0,0
317,4.30772,1960,2.0,6.0,0,0,1,0
318,8.00928,2019,1.0,5.0,0,0,0,1
319,7.33205,2007,2.0,5.0,0,0,0,1
320,7.56201,2013,2.0,6.0,0,0,0,1
321,7.60079,2018,2.0,5.0,0,0,0,1
322,8.03036,2019,1.0,4.0,0,1,0,0
323,7.10794,2009,2.0,4.0,0,0,0,1
324,6.29358,1989,4.0,10.0,0,0,1,0
325,7.92355,2019,1.0,4.0,0,0,0,1
326,8.05801,2015,1.0,4.0,0,1,0,0
327,7.57748,2004,2.0,4.0,0,0,0,1
328,7.39306,2013,1.0,4.0,0,0,0,1
329,7.2041,2017,2.0,2.0,1,0,0,0
330,7.47681,2017,2.0,6.0,0,0,0,1
331,7.84498,2017,2.0,4.0,0,0,0,1
332,7.8822,2016,2.0,4.0,0,0,0,1
333,7.42484,2013,2.0,4.0,0,0,0,1
334,8.2014,2019,1.0,4.0,0,1,0,0
335,7.38066,2011,2.0,4.0,0,0,0,1
336,6.87358,2012,2.0,5.0,1,0,0,0
337,7.50447,2011,2.0,4.0,0,0,0,1
338,6.56471,1981,2.0,5.0,0,0,0,1
339,7.00019,2015,2.0,4.0,0,0,0,1
340,7.72328,2017,2.0,4.0,0,0,0,1
341,6.72267,2001,8.0,18.0,0,0,1,0
342,7.19964,2003,3.0,5.0,0,0,0,1
343,6.93263,2009,1.0,5.0,0,0,0,1
344,7.38335,2018,2.0,4.0,0,0,0,1
345,7.37562,2009,1.0,4.0,0,0,0,1
346,6.90256,2015,2.0,4.0,1,0,0,0
347,7.09821,1995,3.0,5.0,1,0,0,0
348,7.25796,2011,2.0,5.0,0,0,0,1
349,7.774,2004,2.0,4.0,0,1,0,0
350,7.70176,2011,1.0,4.0,0,1,0,0
351,7.21771,2018,2.0,2.0,0,0,0,1
